x,y,z
-0.571714216852,-0.0615229408774,-0.0430515736729
-0.572110733879,-0.0615458539871,-0.0431123868883
-0.57205396279,-0.0617884659233,-0.0432773655828
-0.571211855759,-0.0615685697042,-0.0430272582436
-0.570978929474,-0.0627778341375,-0.0438530218838
-0.570357201641,-0.0632246585042,-0.04409620907
-0.570750011393,-0.0632229410806,-0.0441402963588
-0.570959745566,-0.0636473503208,-0.0444636462864
-0.570173772971,-0.0640342253168,-0.0446445606299
-0.570467816343,-0.0639328701408,-0.0446075266256
-0.570325994189,-0.0645194016171,-0.0450038580981
-0.570467569638,-0.065553989203,-0.0457493060187
-0.570340733458,-0.0661205695023,-0.0461332538018
-0.570047471214,-0.0655354995279,-0.0456860639861
-0.569809885909,-0.0656024437239,-0.0457047754852
-0.569517819411,-0.0654950101278,-0.0455943763233
-0.569802206949,-0.0658818060668,-0.0459003614944
-0.570390874507,-0.0661403676309,-0.04615325375
-0.570343753796,-0.0665013923515,-0.0464019415635
-0.570220058484,-0.0667171863927,-0.0465389488062
-0.570315024055,-0.0667724914497,-0.0465894816465
-0.57048148615,-0.0659652911041,-0.0460408041823
-0.570340541494,-0.0663324542552,-0.0462825152864
-0.570611621179,-0.066033834849,-0.0461047980539
-0.570731065748,-0.0655726284718,-0.0457939810237
-0.570876230725,-0.0656524570061,-0.0458676755292
-0.571602078763,-0.065443154194,-0.0458069024473
-0.572309422908,-0.0651102306561,-0.0456560137007
-0.572370714113,-0.0651902458224,-0.0457199828722
-0.571903146319,-0.0657490939614,-0.0460593623432
-0.571906152468,-0.0659583044814,-0.0462077128471
-0.572272133207,-0.0662418677733,-0.0464527574868
-0.571933431676,-0.066810599395,-0.0468140806095
-0.57193989637,-0.0669847265383,-0.0469381125673
-0.571806196841,-0.0672249964848,-0.0470917103543
-0.571537715193,-0.0675824210784,-0.0473114103239
-0.570880587963,-0.0673146148971,-0.0470410934085
-0.570420063069,-0.0665973582584,-0.0464788406704
-0.570110330519,-0.0663626876523,-0.0462759474439
-0.5699237173,-0.0662285507168,-0.0461589620579
-0.56944424562,-0.065774618976,-0.04578208677
-0.569687232171,-0.0652629897428,-0.0454514515517
-0.570212622405,-0.0649735977907,-0.0453102108936
-0.570342311822,-0.0645612447531,-0.0450352371612
-0.569806676357,-0.0654722381062,-0.0456128123043
-0.570047221802,-0.0652586660381,-0.0454912124524
-0.57033341115,-0.0646586729158,-0.0451027827093
-0.56984347772,-0.0645875336654,-0.0449950262218
-0.57057900155,-0.064494660113,-0.0450162065749
-0.570831910115,-0.0646171776906,-0.0451323502535
-0.570850836841,-0.0650222997118,-0.0454202233759
-0.571134231513,-0.0648827519569,-0.0453554201715
-0.571606423528,-0.0648821132999,-0.0454109976177
-0.571126723858,-0.064573583833,-0.0451363938911
-0.571417355533,-0.0646389735369,-0.0452168718177
-0.5711073074,-0.0647989588846,-0.0452931067946
-0.571279683016,-0.0646240318834,-0.0451900536926
-0.571226733249,-0.0648922151012,-0.0453730697092
-0.571267548397,-0.0657107991621,-0.0459558309177
-0.571753314784,-0.0655155441783,-0.0458761975274
-0.572062660483,-0.0659854206608,-0.0462458186133
-0.571779542329,-0.0660751366353,-0.0462750376551
-0.571080638335,-0.0660670728215,-0.0461848444
-0.571395016107,-0.0663012017375,-0.0463882456715
-0.571794770635,-0.0668452316037,-0.0468216067643
-0.57168215562,-0.0670871966351,-0.0469789593545
-0.571681786952,-0.0674820634022,-0.0472582432724
-0.571139461505,-0.0676901328955,-0.0473382450712
-0.570787050534,-0.0679388137667,-0.0474701666515
-0.570997303388,-0.0681109187106,-0.0476178522933
-0.570952832183,-0.0681549637875,-0.0476434219098
-0.570473508879,-0.0689763378404,-0.0481632359814
-0.570782066632,-0.0688522936198,-0.048114533023
-0.57148702278,-0.0685562491415,-0.047993915814
-0.571479151916,-0.068131284154,-0.047692322245
-0.571233122053,-0.0684267714337,-0.0478705088087
-0.571519234181,-0.0685497630437,-0.0479933719035
-0.57144011076,-0.0687304688367,-0.0481112664684
-0.571750348926,-0.0687701653322,-0.0481784419513
-0.571810032668,-0.0683941642268,-0.0479197335237
-0.571284650902,-0.0680429373928,-0.0476056061247
-0.570156130126,-0.0676280652754,-0.0471728918952
-0.569950165294,-0.0678704014893,-0.0473181617554
-0.57060712901,-0.0667506633528,-0.0466096963816
-0.570367069643,-0.0661521172055,-0.0461586591
-0.570908301924,-0.0662438928433,-0.0462887973982
-0.571620298742,-0.0667186401737,-0.0467107292703
-0.572286448023,-0.0672707020041,-0.0471832879212
-0.571991571562,-0.0672390367509,-0.0471244902194
-0.571661547904,-0.0667836048848,-0.0467617115097
-0.570914214556,-0.0671783143409,-0.0469490098047
-0.570565640873,-0.0666438321338,-0.0465293095918
-0.571173479956,-0.0665346259432,-0.046526215059
-0.570730676961,-0.0664327742681,-0.0464005214963
-0.57021482531,-0.0665739772663,-0.0464374276937
-0.570815615591,-0.0659251129837,-0.0460527116811
-0.570501298911,-0.0657227336225,-0.0458722507119
-0.570742340855,-0.065390823221,-0.045667145188
-0.571060347228,-0.0658688284408,-0.0460424690212
-0.571430284842,-0.0662507919718,-0.046356904616
-0.571540304785,-0.0665342994322,-0.046570642244
-0.571711401305,-0.0661306930604,-0.0463060751084
-0.571417660898,-0.0658157697437,-0.0460480274892
-0.571394673716,-0.0661341400297,-0.0462701711722
-0.571476925225,-0.0664106630629,-0.0464755423107
-0.571322238512,-0.0660835605513,-0.0462256800442
-0.571394985731,-0.0660553415728,-0.0462145390051
-0.571991788294,-0.0661380263438,-0.0463452309539
-0.571378695606,-0.0665532724865,-0.0465643687461
