x,y,z
-0.0176654178586,-0.560989344345,-0.0119752723807
-0.0171253280183,-0.560415301966,-0.0115915876035
-0.0167414757602,-0.560460232232,-0.0113329385957
-0.0151803235368,-0.560727241684,-0.0102827327113
-0.0128618119435,-0.560570018301,-0.00870807091713
-0.010927446124,-0.560804435606,-0.00740256257087
-0.00809462972279,-0.561090889411,-0.0054873052799
-0.00702164774662,-0.561638498772,-0.00476663941512
-0.00598990934654,-0.561707264474,-0.00406691381294
-0.00584006653825,-0.561865901843,-0.00396680534596
-0.00515030316898,-0.562164209863,-0.00350097757193
-0.00170737936091,-0.562192255674,-0.00116066604475
0.00249068187495,-0.562607870868,0.00169498735308
0.00583484844896,-0.562563433571,0.00397045734163
0.00750322343659,-0.562164924221,0.00510057387724
0.00816285763348,-0.561807979314,0.00554389466934
0.0099527436487,-0.562088790331,0.00676468890971
0.00717530598702,-0.561869881666,0.00487389396206
0.00608909004114,-0.561772718354,0.0041349628137
0.00450568742302,-0.562391422405,0.0030645826785
0.00350634439602,-0.562133200605,0.00238324929622
0.00270605042027,-0.562556585496,0.00184130902823
0.000365624444261,-0.563047115518,0.00024910169547
-0.00177060119363,-0.562716243027,-0.00120528548355
-0.00408640186341,-0.563524132504,-0.00278759043725
-0.00542199224692,-0.563482066112,-0.00369832606984
-0.00686946195531,-0.563452570592,-0.00468537130238
-0.00692888743895,-0.563749088165,-0.00472955252857
-0.00661087624916,-0.564275946793,-0.00451864833924
-0.00446863271532,-0.564218968501,-0.00305385730521
-0.00460873090311,-0.564278628599,-0.00315009313989
-0.00323908805676,-0.563776713253,-0.00221102162649
-0.0036993103711,-0.563119746729,-0.00252087067849
-0.00315870711617,-0.562408637766,-0.00214849471663
-0.00299478844628,-0.562283388904,-0.00203633462437
-0.00309971907552,-0.561813800402,-0.00210511205361
-0.00204305628903,-0.561346707719,-0.00138580802467
0.00029072296428,-0.561413389715,0.000197231151175
0.00263298719769,-0.561327335621,0.00178587427224
0.00462393039163,-0.560903222105,0.00313286003421
0.00397993543476,-0.561085404046,0.00269779522274
0.00304167810811,-0.560790361481,0.00206020221391
0.00377304950091,-0.56047366123,0.00255348675053
0.00656845813454,-0.55981103583,0.00443781502939
0.00573590123342,-0.559799868874,0.00387516401014
0.00605197585162,-0.560282317751,0.00409385486494
0.00605948168594,-0.560456532965,0.00410079075305
0.00476001383374,-0.560876871796,0.00322484422767
0.00423476546337,-0.560929144293,0.00286937135489
0.00490135111301,-0.561461967907,0.00332566076557
0.0054984441464,-0.561933148239,0.00373539967045
0.00349888139407,-0.562290086016,0.00237914713997
0.00125734722596,-0.562858876841,0.000856218819675
-0.00355836151875,-0.563902057025,-0.00242975712611
-0.00785333206662,-0.564592016003,-0.00537240575831
-0.0101460345155,-0.56459514603,-0.00694119155229
-0.0128756786666,-0.564031256014,-0.00879630661864
-0.0145478684258,-0.5638838095,-0.00993537985181
-0.0161770151367,-0.563947155556,-0.0110504114172
-0.0185551167114,-0.561652258171,-0.0126005436754
-0.0212062503951,-0.560496743148,-0.0143592666519
-0.0214391505534,-0.559977863081,-0.0144975277503
-0.0240851333942,-0.560316749638,-0.0163032512479
-0.0237462859907,-0.561046326769,-0.0161041651152
-0.0213658083475,-0.561052378564,-0.0144883502947
-0.0188688707267,-0.561384586526,-0.0128048485297
-0.0151803078819,-0.561352244361,-0.0102994578341
-0.0127171145527,-0.561242995139,-0.00862515873537
-0.010323818296,-0.560064206386,-0.00698009649546
-0.00901556862662,-0.559211976446,-0.00608190292947
-0.00893818624951,-0.558199441702,-0.00601382459134
-0.0109799973852,-0.557323311762,-0.00737109185201
-0.0117500722417,-0.556759485939,-0.00787663386759
-0.0123064941701,-0.557370058359,-0.00826286974731
-0.0127745529205,-0.557045529366,-0.00856999794201
-0.0131506160997,-0.556954387744,-0.00882028280006
-0.00993131528137,-0.557500666116,-0.00667001525148
-0.00726873900402,-0.558113169629,-0.00488934318342
-0.0066815062709,-0.55857231177,-0.00449967350271
-0.0057771093595,-0.558949029628,-0.00389437507424
-0.00457534068429,-0.559841483448,-0.00309138695073
-0.00185725248787,-0.561817068244,-0.00126131821189
0.00217308695633,-0.562877319459,0.0014798883009
0.00672751280854,-0.564429308041,0.00460021320759
0.0146627018587,-0.565697641405,0.0100611896539
0.018319615208,-0.565852413969,0.0125771777369
0.0201546469309,-0.565562428518,0.0138276277872
0.0212911298685,-0.565039205871,0.0145882171023
0.0200691719326,-0.564138525069,0.0137180276556
0.0175381873914,-0.56420572488,0.0119888717697
0.0167402001076,-0.563267916545,0.0114151604021
0.0174296174646,-0.562955582988,0.011875921934
0.0177698969774,-0.563401535378,0.0121219871253
0.0177499217862,-0.563748518006,0.012119285952
0.0172153708064,-0.563742865607,0.0117538962881
0.0158941479702,-0.563524863397,0.0108451614985
0.0143152068682,-0.563339916334,0.00976259385236
0.0116501528234,-0.563271042475,0.00794308402086
0.00550662394758,-0.563407042996,0.00375532414471
0.000410137243932,-0.563027824577,0.000279414473456
-0.00551910061906,-0.562880320774,-0.00375868135136
-0.0111844740851,-0.56270481781,-0.00761427503209
-0.0160900453855,-0.562018622266,-0.0109359675958
-0.0188382833736,-0.561391432826,-0.0127843032744
-0.0187873409656,-0.560077922378,-0.0127061964569
-0.0180198627592,-0.559103379936,-0.0121558983906
-0.0178902258483,-0.558183460653,-0.0120395216439
-0.0177455302558,-0.557208245344,-0.0119117977127
-0.0181462104619,-0.556324613319,-0.0121529443119
